"id"|"station_name"|"fuel_type_code"|"owner_type_code"|"country"|"state"|"city"|"street_address"|"zip"|"open_date"|"updated_at"|"access_code"|"access_days_time"|"access_detail_code"|"cards_accepted"|"date_last_confirmed"|"expected_date"|"groups_with_access_code"|"maximum_vehicle_class"|"restricted_access"|"status_code"|"facility_type"|"station_phone"|"geocode_status"|"latitude"|"longitude"|"intersection_directions"|"plus4"|"bd_blends"|"cng_dispenser_num"|"cng_fill_type_code"|"cng_has_rng"|"cng_psi"|"cng_renewable_source"|"cng_total_compression"|"cng_total_storage"|"cng_vehicle_class"|"e85_blender_pump"|"ev_dc_fast_num"|"ev_level1_evse_num"|"ev_level2_evse_num"|"ev_network"|"ev_network_web"|"ev_other_evse"|"ev_pricing"|"ev_renewable_source"|"ev_workplace_charging"|"hy_is_retail"|"hy_status_link"|"lng_has_rng"|"lng_renewable_source"|"lng_vehicle_class"|"lpg_primary"|"ng_fill_type_code"|"ng_psi"|"ng_vehicle_class"|"rd_blended_with_biodiesel"|"rd_blends"|"rd_blends_fr"|"rd_max_biodiesel_level"|"nps_unit_name"|"access_days_time_fr"|"intersection_directions_fr"|"bd_blends_fr"|"groups_with_access_code_fr"|"ev_pricing_fr"
"6505"|"City of Pasadena - Holly Street Garage"|"ELEC"|"LG"|"US"|"CA"|"Pasadena"|"150 E Holly St"|"91103"|"2014-01-20"|"2025-07-17T16:07:56Z"|"public"|"24 hours daily; pay lot"|""|"CREDIT"|"2025-06-06"|""|"Public"|"LD"|"False"|"E"|"PARKING_GARAGE"|"626-744-7665"|"200-8"|"34.14762"|"-118.147111"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"26.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"6506"|"City of Pasadena - De Lacey Garage"|"ELEC"|"LG"|"US"|"CA"|"Pasadena"|"45 De Lacey Ave"|"91105"|"1997-08-30"|"2025-06-06T18:42:11Z"|"public"|"24 hours daily; pay lot"|""|"CREDIT"|"2025-06-06"|""|"Public"|"LD"|"False"|"E"|"PARKING_GARAGE"|"626-744-7665"|"GPS"|"34.145138"|"-118.152655"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"3.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"6507"|"City of Pasadena - Schoolhouse Garage"|"ELEC"|"LG"|"US"|"CA"|"Pasadena"|"33 E Green St"|"91105"|"1997-08-30"|"2025-06-06T18:42:11Z"|"public"|"24 hours daily; pay lot"|""|"CREDIT"|"2025-06-06"|""|"Public"|"LD"|"False"|"E"|"PARKING_GARAGE"|"626-744-7665"|"GPS"|"34.145119"|"-118.150133"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"3.0"|"Non-Networked"|""|""|"$1 for the first two hours, $2 each additional hour"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"23480"|"Clean Energy - City of Tulare"|"LNG"|"LG"|"US"|"CA"|"Tulare"|"3989 S K St"|"93274"|"1996-05-15"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D FleetOne FuelMan M V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"MUNI_GOV"|"866-809-4869"|"200-9"|"36.169487"|"-119.338155"|"South on Hwy 99, exit at Paige going west, 1 mile to South K St, go 1 mile south; LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"30131"|"Air Products - Torrance"|"HY"|"P"|"US"|"CA"|"Torrance"|"2051 W 190th St"|"90504"|"2017-08-21"|"2025-08-22T18:45:04Z"|"public"|"24 hours daily"|"CREDIT_CARD_ALWAYS"|"A D Debit M V"|"2025-05-12"|""|"Public - Credit card at all times"|"LD"|"False"|"E"|"GAS_STATION"|"833-743-5542"|"200-8"|"33.858556"|"-118.31461"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"https://m.h2fcp.org/content/torrance"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"32051"|"Victor Valley Transit Authority"|"LNG"|"LG"|"US"|"CA"|"Barstow"|"100 N Sandstone Ct"|"92311"|"2006-06-15"|"2025-06-06T18:39:50Z"|"public"|"24 hours daily; customers must have a Fleetstar card to pay for LNG; Also accepts Fleetstar card"|"KEY_ALWAYS"|"CREDIT M V Voyager Wright_Exp"|"2024-07-11"|""|"Public - Card key at all times"|"HD"|"False"|"E"|"MUNI_GOV"|"760-948-4021"|"200-9"|"34.886448"|"-117.079423"|"LCNG station. I-15 to Highway 58, right on W Main St, left on Sandstone Ct."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte-clé en tout temps"|""
"33717"|"Seattle-Tacoma International Airport - General Parking"|"ELEC"|"P"|"US"|"WA"|"Seattle"|"17801 Pacific Hwy S"|"98188"|"2010-03-01"|"2025-06-06T18:42:11Z"|"public"|"24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging"|""|"A Cash CREDIT D Debit M V"|"2025-06-06"|""|"Public"|"LD"|"False"|"E"|"AIRPORT"|"206-787-5388"|"200-8"|"47.443377"|"-122.296229"|"7th floor parking garage"|""|""|""|""|""|""|""|""|""|""|""|""|""|"68.0"|"Non-Networked"|""|""|"$8.00 per hour parking fee; $37.00 per day parking fee"|"NONE"|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"34319"|"Clean Energy - Riverside County Waste Management"|"LNG"|"LG"|"US"|"CA"|"Riverside"|"1810 Agua Mansa Rd"|"92509"|"2002-05-15"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FuelMan M Tchek V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"STANDALONE_STATION"|"866-809-4869"|"200-8"|"34.02094"|"-117.385415"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"35074"|"Clean Energy - Port of Long Beach"|"LNG"|"P"|"US"|"CA"|"Wilmington"|"3400 I St"|"90744"|"2009-07-15"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card"|"CREDIT_CARD_ALWAYS"|"CleanEnergy D FuelMan M V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"STANDALONE_STATION"|"866-809-4869"|"GPS"|"33.78311"|"-118.222"|"At intersection of W Anaheim St & E I St; LCNG station."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"36571"|"Noil Energy"|"LNG"|"P"|"US"|"CA"|"Long Beach"|"1234 W Cowles St"|"90813"|"2018-05-09"|"2025-06-06T18:42:11Z"|"public"|"24 hours daily"|""|"Cash Checks D M V"|"2025-06-06"|""|"Public"|"HD"|"False"|"E"|"CONVENIENCE_STORE"|"562-491-1228"|"200-9"|"33.784395"|"-118.208062"|"710 Freeway to Anaheim West, take the first right on Harbor Ave, then the first right on Cowles St"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"False"|""|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public"|""
