cityPercent,highwayPercent,lastDate,mpg,state,vehicleId
55,45,2025-08-21T00:00:00-04:00,31.002087683,AZ,47940
63,37,2025-08-30T00:00:00-04:00,96.635498762,NY,48315
0,100,2024-12-30T00:00:00-05:00,39.5,OH,48166
60,40,2025-05-03T00:00:00-04:00,28.6,MA,47743
32,68,2025-08-12T00:00:00-04:00,26.491023225,IL,48116
0,0,2025-04-20T00:00:00-04:00,13.177985793,GA,48629
100,0,2025-01-18T00:00:00-05:00,28.2,IN,48015
45,55,2025-02-06T00:00:00-05:00,107.4346875,CA,48697
0,0,2025-08-12T00:00:00-04:00,17.313677619,OH,48210
19,81,2025-06-30T00:00:00-04:00,32.10073694,NC,47721
78,22,2025-09-02T00:00:00-04:00,31.27475816,OH,47721
15,85,2025-09-07T00:00:00-04:00,28.324519199,NY,47781
35,65,2025-08-26T00:00:00-04:00,72.42655814,MS,49077
59,41,2025-08-29T00:00:00-04:00,40.123163996,GA,48873
75,25,2025-07-19T00:00:00-04:00,51.316984559,UT,48503
41,59,2025-08-13T00:00:00-04:00,30.043603355,NY,47956
70,30,2024-07-16T00:00:00-04:00,50.964324973,OR,47957
54,46,2025-08-30T00:00:00-04:00,39.477583024,CA,47957
50,50,2025-07-17T00:00:00-04:00,39.007943839,NE,47957
15,85,2025-05-18T00:00:00-04:00,38.671814272,VA,47950
90,10,2025-09-02T00:00:00-04:00,23.197409292,NY,47782
50,50,2025-09-03T00:00:00-04:00,21.115045243,PA,48254
30,70,2025-08-24T00:00:00-04:00,22.976885539,TN,47754
37,63,2025-08-07T00:00:00-04:00,24.728456832,CO,48247
10,90,2025-02-24T00:00:00-05:00,43.5,WI,48023
100,0,2025-03-12T00:00:00-04:00,30.7,MA,48246
49,51,2025-09-08T00:00:00-04:00,22.39266442,PA,48025
65,35,2025-09-06T00:00:00-04:00,21.971500583,CO,48269
35,65,2025-04-02T00:00:00-04:00,26.715522985,WY,48266
50,50,2025-01-14T00:00:00-05:00,32.0,,48265
20,80,2025-01-06T00:00:00-05:00,28.965517241,CO,48265
20,80,2025-01-22T00:00:00-05:00,26.0,OK,48265
69,31,2025-09-04T00:00:00-04:00,17.132825354,CA,48290
71,29,2025-09-01T00:00:00-04:00,39.140401569,PA,48604
48,52,2025-07-11T00:00:00-04:00,34.334151739,AZ,48272
72,28,2025-05-25T00:00:00-04:00,34.283752411,MD,48054
74,26,2025-08-25T00:00:00-04:00,46.043905786,MD,48066
10,90,2025-01-02T00:00:00-05:00,25.1,WA,47736
50,50,2025-08-25T00:00:00-04:00,76.369908774,MN,48667
50,50,2025-08-04T00:00:00-04:00,39.5,NY,48920
50,50,2025-09-02T00:00:00-04:00,33.089240383,MA,48920
0,0,2025-08-01T00:00:00-04:00,60.841994301,MI,48671
0,0,2025-03-28T00:00:00-04:00,28.676766607,WI,48537
0,0,2025-08-17T00:00:00-04:00,39.649720263,TX,48924
30,70,2025-09-02T00:00:00-04:00,35.413521221,PA,48672
80,20,2024-12-30T00:00:00-05:00,80.0,VA,48673
50,50,2025-06-23T00:00:00-04:00,28.989883738,AZ,48802
38,63,2025-08-31T00:00:00-04:00,26.403195072,PA,48542
18,82,2025-09-05T00:00:00-04:00,42.741710783,TN,48500
0,0,2025-08-30T00:00:00-04:00,42.465860273,IL,48500
65,35,2025-07-21T00:00:00-04:00,16.252283038,TN,48606
30,70,2025-01-04T00:00:00-05:00,17.8,MI,47727
26,75,2025-09-05T00:00:00-04:00,30.627405134,NM,48484
20,80,2025-05-26T00:00:00-04:00,28.4,MD,48544
0,0,2025-07-30T00:00:00-04:00,23.171597415,,47741
50,50,2025-08-28T00:00:00-04:00,32.571032571,FL,48932
30,70,2025-08-06T00:00:00-04:00,101.115,CA,49123
22,78,2025-09-07T00:00:00-04:00,33.828119125,VA,47801
70,30,2025-09-06T00:00:00-04:00,38.859764089,FL,48034
39,61,2025-09-06T00:00:00-04:00,52.533850257,TN,48032
50,50,2025-01-06T00:00:00-05:00,47.0,NC,48032
25,75,2025-04-16T00:00:00-04:00,40.599753695,MI,48032
50,50,2025-09-04T00:00:00-04:00,48.603606166,CA,48033
70,30,2025-08-14T00:00:00-04:00,28.159857661,,47936
55,45,2025-09-05T00:00:00-04:00,48.002844613,CO,48937
30,70,2025-08-26T00:00:00-04:00,44.690163557,AL,48937
44,56,2025-09-03T00:00:00-04:00,38.591496497,TX,48937
50,50,2025-04-19T00:00:00-04:00,34.5,TX,48937
31,69,2025-08-14T00:00:00-04:00,39.0721514,PA,48936
20,80,2025-04-26T00:00:00-04:00,17.2,IN,48575
30,70,2025-04-21T00:00:00-04:00,17.0,SC,48575
70,30,2025-04-07T00:00:00-04:00,14.0,FL,48575
