State,City,Zip,Organization,ContactFirstName,ContactLastName,AddressLine1,Email,Fax,Phone1,CPSWeekEventFlag,LastUpdatedDate,MobileStationFlag,CountiesServed,LocationLatitude,LocationLongitude
AL,Orange Beach,36561,Orange Beach Fire Department,,,25855 John Snook Drive,,,251-981-6166,No,2024-04-25T13:03:10Z,No,,30.302634,-87.562455
AL,Mobile,36604,USA Children’s & Women’s Hospital,,,1700 Center Street,,,251 415-1274,No,2024-04-25T13:06:07Z,No,,30.697649,-88.077733
AL,Chatom,36518,Washington County Health Department,Anna,Odom,14900 Saint Stephens Ave,,,251-946-8012,No,2023-09-19T12:12:50Z,No,,31.458085,-88.230403
AL,Grove Hill,36451,Clarke County Health Department,Anna,Odom,22600 Highway 84,,,251-946-8012,No,2023-09-19T12:12:28Z,No,,31.69078,-87.75969
AL,Troy,36081,Troy Police Department,,,300 Elm Street,,,334-566-0500,No,2024-04-25T13:09:01Z,No,,31.808112,-85.969598
AL,Opelika,36803,Lee County's Sheriff Office,,,1900 Frederick Road,,,334-749-5651,No,2024-04-25T13:01:46Z,No,,32.624018,-85.402313
AL,Sylacauga,35150,Sylacauga Fire Department,,,300 N. Norton Avenue,,,256-401-2523,No,2024-04-25T13:04:09Z,No,,33.171861,-86.251804
AL,Tuscaloosa,35401,Tuscaloosa Fire Department Station One,Holly Whigham,Eric Richburg,1501 Greensboro Ave,,,202-248-5420,No,2023-09-19T11:55:35Z,No,,33.199171,-87.563362
AL,Northport,35476,Northport Fire Station One,Michael,Chism,3500 McFarland Blvd,,,205-333-3024,No,2023-09-19T11:56:35Z,No,,33.240902,-87.59202
AL,Birmingham,35233,Children's Hosptial of Alabama,Marie,Crew,1600 5th Ave S,,,1-800-504-9768,No,2023-09-19T11:52:55Z,No,,33.506144,-86.80652
AL,Pell City,35125,St. Clair County Health,Elizabeth,Payne,1175 23rd St N,,,256-569-8169,No,2023-11-01T18:14:27Z,No,,33.60182,-86.286758
AL,Anniston,36201,Calhoun County Health Department,Elizabeth,Payne,3400 McClellan Blvd,,,256-240-6628,No,2023-09-19T12:11:55Z,No,,33.691187,-85.82428
AL,Gadsden,35903,Etowah County Health Department,Elizabeth,Payne,709 E Broad St,,,256-240-6628,No,2023-09-19T12:05:52Z,No,,34.002947,-85.985637
AL,Huntsville,35801,Huntsville Hospital,Karen,Ivey,927 Franklin St SE,,,256-265-7296,No,2023-09-19T12:05:19Z,No,,34.720893,-86.576593
AL,Huntsville,35801,Huntsville Hospital for Women and Children,Kelly,Thomas,420 Lowell Dr SE,,,256-265-7296,No,2023-09-19T12:04:46Z,No,,34.721281,-86.575019
AK,Juneau,99801,Bartlett Regional Hospital Safe Kids Alaska CPS Program,Sara,Gress,3260 Hospital Dr,,,907-796-8975,No,2023-11-29T16:18:28Z,No,,,
AK,Eielson AFB,99702,Eielson AFB Fire and Emergency Services,Leah,Lloyd,2723 Flightline Avenue,,,907-377-4156,No,2023-11-29T16:25:36Z,No,,,
AK,Kodiak,99615,"Kodiak Bayside Fire Station, Safe Kids Alaska CPS Program",Justin,Thran,4606 E Rezanof Drive,,,907-486-4536,No,2023-11-29T15:58:52Z,No,,,
AK,Nome,99762,CAMP-Norton Sound Health Corporation,Katie,Hannon,100 Greg Kruscheck Avenue,,,907-443-3365,No,2023-11-29T16:05:12Z,No,,,
AK,Ninilchik,99639,Western Emergency Services,Lori,Marsh,15727 Kingsley Road,,,907-235-6700,No,2023-11-29T16:11:11Z,No,,,
AK,Kenai,99611,Kenai Fire Department,Brad,Nelson,105 S Willow St,,,907-283-7666,No,2023-11-29T16:20:56Z,No,,,
AK,Homer,99603,Sprout Family Services,Red,Asselin,3691 Ben Walters Lane,,,907-xxx-xxx,No,2023-11-29T16:27:55Z,No,,,
AK,Fairbanks,99709,Chena Goldstream Fire & Rescue,Angela,Adams,716 Chena Ridge,,,907-479-65672,No,2023-11-29T16:30:36Z,No,,,
AK,Ft Wainwright,99703,Fort Wainwright Fire Dept.,Barbara,Michael,4390 Neeley Road,,,907-361-7399,No,2023-11-30T15:48:44Z,No,,,
AK,Ester,99507,Ester Volunteer Fire Department,Angela,Adams,3570 Old Nenana Hwy,,,907-479-6858,No,2023-11-30T15:50:59Z,No,,,
AK,Craig,99921,Craig Tribal Association,Samantha,Ponce,515 Front Street,,,907-826-3998,No,2023-11-30T15:53:00Z,No,,,
AK,Bethel,99559,Bethel Fire Dept.,Daron,Solestee,320 Chief Eddie Hoffman Hwy,,,907-543-2047,No,2023-11-30T15:56:05Z,No,,,
