OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId,FrontCrashPicture,FrontCrashVideo,SideCrashPicture,SideCrashVideo,SidePolePicture,SidePoleVideo
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EC40 BEV,2026 VOLVO EC40 SUV BEV AWD,20870,,,,,,
5,4,4,5,5,5,5,5,5,5,4,Not Rated,0.13,0.0,No Tip,5,Standard,No,No,0,0,0,2026,GENESIS,GV70,2026 Genesis GV70 SUV AWD,20838,https://static.nhtsa.gov/crashTest/images/2026/v14433P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14433C019.wmv,https://static.nhtsa.gov/crashTest/images/2026/v15004P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15004C012.wmv,https://static.nhtsa.gov/crashTest/images/2026/v15008P075.jpg,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EX30 BEV,2026 VOLVO EX30 SUV BEV AWD,20868,,,,,,
5,5,4,5,5,5,5,5,5,5,4,Not Rated,0.113,0.0,No Tip,5,Standard,No,No,0,0,0,2026,TOYOTA,CROWN HYBRID,2026 Toyota CROWN HYBRID 4 DR AWD,20839,https://static.nhtsa.gov/crashTest/images/2026/v15024P123.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15024C020.wmv,https://static.nhtsa.gov/crashTest/images/2026/v15022P144.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15022C014.wmv,https://static.nhtsa.gov/crashTest/images/2026/v15023P113.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15023C014.wmv
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EX90 BEV,2026 VOLVO EX90 SUV BEV RWD,20882,,,,,,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EX40 BEV,2026 VOLVO EX40 SUV BEV RWD,20871,,,,,,
5,4,5,4,5,5,5,5,5,5,5,Not Rated,0.099,0.0,No Tip,5,Standard,No,No,0,0,0,2026,VOLVO,V60 CC MHEV,2026 VOLVO V60 CC SW MHEV AWD,20875,,,,,,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EX90 BEV,2026 VOLVO EX90 SUV BEV AWD,20883,,,,,,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EX30 BEV,2026 VOLVO EX30 SUV BEV RWD,20867,,,,,,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,S90 MHEV,2026 VOLVO S90 4 DR MHEV AWD,20878,,,,,,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EX40 BEV,2026 VOLVO EX40 SUV BEV AWD,20872,,,,,,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,V90 CC MHEV,2026 VOLVO V90 CC SW MHEV AWD,20879,,,,,,
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2026,VOLVO,EC40 BEV,2026 VOLVO EC40 SUV BEV RWD,20869,,,,,,
