OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ModelYear,Make,Model,VehicleDescription,VehicleId,ComplaintsCount,RecallsCount,InvestigationCount,VehiclePicture
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14258P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14258C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14261P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14261C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14260P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14260C013.wmv,Standard,No,No,2026,ACURA,INTEGRA N/A,2026 ACURA INTEGRA 5 HB N/A FWD,20899,,,,
5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv,Standard,No,No,2026,ACURA,MDX N/A,2026 ACURA MDX SUV N/A FWD,20891,,,,
5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv,5,5,5,4,Not Rated,0.15,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv,Standard,No,No,2026,ACURA,RDX N/A,2026 ACURA RDX SUV N/A AWD,20904,,,,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.095,0.0,No Tip,Not Rated,,,Standard,No,No,2026,ACURA,INTEGRA TYPE-S N/A,2026 ACURA INTEGRA TYPE-S 5 HB N/A FWD,20900,,,,
Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv,Standard,No,No,2026,ACURA,MDX N/A,2026 ACURA MDX SUV N/A AWD,20892,,,,
5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv,5,5,5,4,Not Rated,0.165,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv,Standard,No,No,2026,ACURA,RDX N/A,2026 ACURA RDX SUV N/A FWD,20903,,,,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg,,5,5,5,5,Not Rated,0.087,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg,,Standard,No,No,2026,ACURA,ZDX BEV,2026 ACURA ZDX SUV BEV AWD,20909,,,,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg,,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg,,Standard,No,No,2026,ACURA,ZDX BEV,2026 ACURA ZDX SUV BEV RWD,20908,,,,
5,4,4,5,https://static.nhtsa.gov/crashTest/images/2026/v14433P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14433C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15004P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15004C012.wmv,5,5,5,4,Not Rated,0.13,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15008P075.jpg,,Standard,No,No,2026,GENESIS,GV70,2026 Genesis GV70 SUV AWD,20838,0.0,0.0,0.0,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,2026,HONDA,CIVIC HATCHBACK HYBRID HEV,2026 HONDA CIVIC HATCHBACK HYBRID 5 HB HEV FWD,20898,,,,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,2026,HONDA,CIVIC SEDAN HYBRID HEV,2026 HONDA CIVIC SEDAN HYBRID 4 DR HEV FWD,20895,,,,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,2026,HONDA,CIVIC HATCHBACK N/A,2026 HONDA CIVIC HATCHBACK 5 HB N/A FWD,20897,,,,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,2026,HONDA,CIVIC SEDAN N/A,2026 HONDA CIVIC SEDAN 4 DR N/A FWD,20894,,,,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,2026,HONDA,CIVIC SEDAN SI N/A,2026 HONDA CIVIC SEDAN SI 4 DR N/A FWD,20896,,,,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,2026,HONDA,CR-V HYBRID HEV,2026 HONDA CR-V HYBRID SUV HEV AWD,20888,,,,
