VehicleId,VehicleDescription,Make,Model,ModelYear,ComplaintsCount,RecallsCount,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,InvestigationCount,VehiclePicture
20899,2026 ACURA INTEGRA 5 HB N/A FWD,ACURA,INTEGRA N/A,2026,,,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14258P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14258C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14261P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14261C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14260P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14260C013.wmv,Standard,No,No,,
20900,2026 ACURA INTEGRA TYPE-S 5 HB N/A FWD,ACURA,INTEGRA TYPE-S N/A,2026,,,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.095,0.0,No Tip,Not Rated,,,Standard,No,No,,
20892,2026 ACURA MDX SUV N/A AWD,ACURA,MDX N/A,2026,,,Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv,Standard,No,No,,
20904,2026 ACURA RDX SUV N/A AWD,ACURA,RDX N/A,2026,,,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv,5,5,5,4,Not Rated,0.15,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv,Standard,No,No,,
20891,2026 ACURA MDX SUV N/A FWD,ACURA,MDX N/A,2026,,,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv,Standard,No,No,,
20908,2026 ACURA ZDX SUV BEV RWD,ACURA,ZDX BEV,2026,,,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg,,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg,,Standard,No,No,,
20903,2026 ACURA RDX SUV N/A FWD,ACURA,RDX N/A,2026,,,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv,5,5,5,4,Not Rated,0.165,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv,Standard,No,No,,
20909,2026 ACURA ZDX SUV BEV AWD,ACURA,ZDX BEV,2026,,,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg,,5,5,5,5,Not Rated,0.087,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg,,Standard,No,No,,
20838,2026 Genesis GV70 SUV AWD,GENESIS,GV70,2026,0.0,0.0,5,4,4,5,https://static.nhtsa.gov/crashTest/images/2026/v14433P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14433C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15004P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15004C012.wmv,5,5,5,4,Not Rated,0.13,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15008P075.jpg,,Standard,No,No,0.0,
20898,2026 HONDA CIVIC HATCHBACK HYBRID 5 HB HEV FWD,HONDA,CIVIC HATCHBACK HYBRID HEV,2026,,,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,,
