VehicleId,VehicleDescription,Make,Model,ModelYear,ComplaintsCount,RecallsCount,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,InvestigationCount
20899,2026 ACURA INTEGRA 5 HB N/A FWD,ACURA,INTEGRA,2026,0,0,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14258P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14258C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14261P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14261C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14260P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14260C013.wmv,Standard,No,No,0
20891,2026 ACURA MDX SUV N/A FWD,ACURA,MDX,2026,0,0,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv,Standard,No,No,0
20900,2026 ACURA INTEGRA TYPE-S 5 HB N/A FWD,ACURA,INTEGRA TYPE-S,2026,0,0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.095,0.0,No Tip,Not Rated,,,Standard,No,No,0
20904,2026 ACURA RDX SUV N/A AWD,ACURA,RDX,2026,0,0,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv,5,5,5,4,Not Rated,0.15,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv,Standard,No,No,0
20892,2026 ACURA MDX SUV N/A AWD,ACURA,MDX,2026,0,0,Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv,Standard,No,No,0
20903,2026 ACURA RDX SUV N/A FWD,ACURA,RDX,2026,0,0,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv,5,5,5,4,Not Rated,0.165,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv,Standard,No,No,0
20908,2026 ACURA ZDX SUV BEV RWD,ACURA,ZDX BEV,2026,0,0,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg,,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg,,Standard,No,No,0
20909,2026 ACURA ZDX SUV BEV AWD,ACURA,ZDX BEV,2026,0,0,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg,,5,5,5,5,Not Rated,0.087,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg,,Standard,No,No,0
20913,2026 CHRYSLER PACIFICA PV N/A FWD,CHRYSLER,PACIFICA,2026,0,0,5,5,5,5,,,5,5,5,,,5,5,5,4,Not Rated,0.116,0.0,No Tip,5,,,Standard,No,No,0
20914,2026 CHRYSLER PACIFICA AWD PV N/A AWD,CHRYSLER,PACIFICA AWD,2026,0,0,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v09970P081.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v09970C018.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v09972P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v09972C014.wmv,5,5,5,4,Not Rated,0.121,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v09971P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v09971C014.wmv,Standard,No,No,0
