id,relatedStationsId,relatedStationsAccessCode,relatedStationsFuelTypeCode
6505,121595,private,ELEC
23480,7041,public,CNG
32051,28523,public,CNG
34319,39196,public,CNG
35074,35073,public,CNG
38488,38487,public,CNG
43659,67844,public,CNG
43673,61167,public,CNG
43677,61168,public,CNG
43718,251711,public,CNG
43724,63579,public,CNG
43727,60266,public,CNG
44849,74843,public,BD
44849,44848,public,CNG
44849,62998,public,LPG
51602,64759,public,CNG
60648,60647,public,LPG
60929,72595,public,CNG
61160,61161,public,CNG
