id,stationName,fuelTypeCode,ownerTypeCode,country,state,city,streetAddress,zip,openDate,updatedAt,accessCode,accessDaysTime,accessDetailCode,cardsAccepted,dateLastConfirmed,expectedDate,groupsWithAccessCode,maximumVehicleClass,restrictedAccess,statusCode,facilityType,stationPhone,geocodeStatus,latitude,longitude,intersectionDirections,plus4,bdBlends,cngDispenserNum,cngFillTypeCode,cngHasRng,cngPsi,cngRenewableSource,cngTotalCompression,cngTotalStorage,cngVehicleClass,e85BlenderPump,evDcFastNum,evLevel1EvseNum,evLevel2EvseNum,evNetwork,evNetworkWeb,evOtherEvse,evPricing,evRenewableSource,evWorkplaceCharging,hyIsRetail,hyStatusLink,lngHasRng,lngRenewableSource,lngVehicleClass,lpgPrimary,ngFillTypeCode,ngPsi,ngVehicleClass,rdBlendedWithBiodiesel,rdBlends,rdBlendsFr,rdMaxBiodieselLevel,npsUnitName,accessDaysTimeFr,intersectionDirectionsFr,bdBlendsFr,groupsWithAccessCodeFr,evPricingFr,restricted_access_bool,ev_workplace_charging_bool,hy_is_retail_bool,lng_has_rng_bool
6505,City of Pasadena - Holly Street Garage,ELEC,LG,US,CA,Pasadena,150 E Holly St,91103,2014-01-20 00:00:00+00:00,2025-07-17 16:07:56+00:00,public,24 hours daily; pay lot,,CREDIT,2025-06-06 00:00:00+00:00,,Public,LD,False,E,PARKING_GARAGE,626-744-7665,200-8,34.148,-118.147,,,,,,,,,,,,,,,26.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
6506,City of Pasadena - De Lacey Garage,ELEC,LG,US,CA,Pasadena,45 De Lacey Ave,91105,1997-08-30 00:00:00+00:00,2025-06-06 18:42:11+00:00,public,24 hours daily; pay lot,,CREDIT,2025-06-06 00:00:00+00:00,,Public,LD,False,E,PARKING_GARAGE,626-744-7665,GPS,34.145,-118.153,,,,,,,,,,,,,,,3.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
6507,City of Pasadena - Schoolhouse Garage,ELEC,LG,US,CA,Pasadena,33 E Green St,91105,1997-08-30 00:00:00+00:00,2025-06-06 18:42:11+00:00,public,24 hours daily; pay lot,,CREDIT,2025-06-06 00:00:00+00:00,,Public,LD,False,E,PARKING_GARAGE,626-744-7665,GPS,34.145,-118.15,,,,,,,,,,,,,,,3.0,Non-Networked,,,"$1 for the first two hours, $2 each additional hour",,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
23480,Clean Energy - City of Tulare,LNG,LG,US,CA,Tulare,3989 S K St,93274,1996-05-15 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D FleetOne FuelMan M V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,MUNI_GOV,866-809-4869,200-9,36.169,-119.338,"South on Hwy 99, exit at Paige going west, 1 mile to South K St, go 1 mile south; LCNG station",,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
30131,Air Products - Torrance,HY,P,US,CA,Torrance,2051 W 190th St,90504,2017-08-21 00:00:00+00:00,2025-08-22 18:45:04+00:00,public,24 hours daily,CREDIT_CARD_ALWAYS,A D Debit M V,2025-05-12 00:00:00+00:00,,Public - Credit card at all times,LD,False,E,GAS_STATION,833-743-5542,200-8,33.859,-118.315,,,,,,,,,,,,,,,,,,,,,,True,https://m.h2fcp.org/content/torrance,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,False,,True,
32051,Victor Valley Transit Authority,LNG,LG,US,CA,Barstow,100 N Sandstone Ct,92311,2006-06-15 00:00:00+00:00,2025-06-06 18:39:50+00:00,public,24 hours daily; customers must have a Fleetstar card to pay for LNG; Also accepts Fleetstar card,KEY_ALWAYS,CREDIT M V Voyager Wright_Exp,2024-07-11 00:00:00+00:00,,Public - Card key at all times,HD,False,E,MUNI_GOV,760-948-4021,200-9,34.886,-117.079,"LCNG station. I-15 to Highway 58, right on W Main St, left on Sandstone Ct.",,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte-clé en tout temps,,False,,,True
33717,Seattle-Tacoma International Airport - General Parking,ELEC,P,US,WA,Seattle,17801 Pacific Hwy S,98188,2010-03-01 00:00:00+00:00,2025-06-06 18:42:11+00:00,public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,A Cash CREDIT D Debit M V,2025-06-06 00:00:00+00:00,,Public,LD,False,E,AIRPORT,206-787-5388,200-8,47.443,-122.296,7th floor parking garage,,,,,,,,,,,,,,68.0,Non-Networked,,,$8.00 per hour parking fee; $37.00 per day parking fee,NONE,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
34319,Clean Energy - Riverside County Waste Management,LNG,LG,US,CA,Riverside,1810 Agua Mansa Rd,92509,2002-05-15 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FuelMan M Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,STANDALONE_STATION,866-809-4869,200-8,34.021,-117.385,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
35074,Clean Energy - Port of Long Beach,LNG,P,US,CA,Wilmington,3400 I St,90744,2009-07-15 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card,CREDIT_CARD_ALWAYS,CleanEnergy D FuelMan M V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,STANDALONE_STATION,866-809-4869,GPS,33.783,-118.222,At intersection of W Anaheim St & E I St; LCNG station.,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
36571,Noil Energy,LNG,P,US,CA,Long Beach,1234 W Cowles St,90813,2018-05-09 00:00:00+00:00,2025-06-06 18:42:11+00:00,public,24 hours daily,,Cash Checks D M V,2025-06-06 00:00:00+00:00,,Public,HD,False,E,CONVENIENCE_STORE,562-491-1228,200-9,33.784,-118.208,"710 Freeway to Anaheim West, take the first right on Harbor Ave, then the first right on Cowles St",,,,,,,,,,,,,,,,,,,,,,,False,,HD,,,,HD,,,,,,,,,Public,,False,,,False
36928,New London Parking Authority - Water Street Public Parking Garage,ELEC,LG,US,CT,New London,160 Water St,6320,2013-07-01 00:00:00+00:00,2025-02-12 00:16:32+00:00,public,Restricted to garage hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,A ANDROID_PAY APPLE_PAY CREDIT D Debit M V,2024-04-14 00:00:00+00:00,,Public,LD,False,E,PAY_GARAGE,860-443-1775,GPS,41.355,-72.094,Located outside off entrance from Water St and inside upon entering garage,,,,,,,,,,,,,2.0,4.0,Non-Networked,,1 Conductive 120V,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
38488,Clean Energy - Dillon Transport,LNG,P,US,TX,Dallas,4600 Irving Blvd,75247,2012-10-08 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,STANDALONE_STATION,866-809-4869,200-9,32.808,-96.897,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
39314,Super 8 - Ukiah,ELEC,P,US,CA,Ukiah,693 S Orchard Ave,95482,2011-05-15 00:00:00+00:00,2025-05-12 16:15:59+00:00,public,24 hours daily; guest use only,CALL,A Cash D M V,2025-05-12 00:00:00+00:00,,Public - Call ahead,LD,True,E,HOTEL,707-468-8181,GPS,39.146,-123.198,"Highway 101, Gobbi St exit",,,,,,,,,,,,,,1.0,Non-Networked,,,$10 per session,,False,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,True,False,,
40794,O'Hare Airport,ELEC,P,US,IL,Chicago,10000 W O'Hare Ave,60666,2011-02-11 00:00:00+00:00,2025-02-12 00:16:32+00:00,public,24 hours daily; pay lots,CREDIT_CARD_ALWAYS,A D M V,2024-09-12 00:00:00+00:00,,Public - Credit card at all times,LD,False,E,AIRPORT,800-832-6352,GPS,41.979,-87.903,Located in lots A and F,,,,,,,,,,,,,,6.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,False,False,,
41264,Greenville-Spartanburg International Airport - Parking Lot B,ELEC,SG,US,SC,Greer,1980 GSP Dr,29651,2011-09-01 00:00:00+00:00,2025-07-09 17:54:55+00:00,public,24 hours daily; pay lot,CREDIT_CARD_ALWAYS,A D M V,2023-06-12 00:00:00+00:00,,Public - Credit card at all times,LD,False,E,AIRPORT,864-877-7426  864-662-4301,200-8,34.889,-82.216,,,,,,,,,,,,,,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,False,False,,
