cityPercent,highwayPercent,lastDate,mpg,state,vehicleId
55,45,2025-08-21 04:00:00+00:00,31.002,AZ,47940
63,37,2025-08-30 04:00:00+00:00,96.635,NY,48315
0,100,2024-12-30 05:00:00+00:00,39.5,OH,48166
60,40,2025-05-03 04:00:00+00:00,28.6,MA,47743
32,68,2025-08-12 04:00:00+00:00,26.491,IL,48116
0,0,2025-04-20 04:00:00+00:00,13.178,GA,48629
45,55,2025-02-06 05:00:00+00:00,107.435,CA,48697
100,0,2025-01-18 05:00:00+00:00,28.2,IN,48015
0,0,2025-08-12 04:00:00+00:00,17.314,OH,48210
19,81,2025-06-30 04:00:00+00:00,32.101,NC,47721
78,22,2025-09-02 04:00:00+00:00,31.275,OH,47721
15,85,2025-09-07 04:00:00+00:00,28.325,NY,47781
35,65,2025-08-26 04:00:00+00:00,72.427,MS,49077
59,41,2025-08-29 04:00:00+00:00,40.123,GA,48873
70,30,2024-07-16 04:00:00+00:00,50.964,OR,47957
54,46,2025-08-30 04:00:00+00:00,39.478,CA,47957
50,50,2025-07-17 04:00:00+00:00,39.008,NE,47957
41,59,2025-08-13 04:00:00+00:00,30.044,NY,47956
75,25,2025-07-19 04:00:00+00:00,51.317,UT,48503
15,85,2025-05-18 04:00:00+00:00,38.672,VA,47950
50,50,2025-09-03 04:00:00+00:00,21.115,PA,48254
30,70,2025-08-24 04:00:00+00:00,22.977,TN,47754
100,0,2025-03-12 04:00:00+00:00,30.7,MA,48246
37,63,2025-08-07 04:00:00+00:00,24.728,CO,48247
10,90,2025-02-24 05:00:00+00:00,43.5,WI,48023
49,51,2025-09-08 04:00:00+00:00,22.393,PA,48025
35,65,2025-04-02 04:00:00+00:00,26.716,WY,48266
65,35,2025-09-06 04:00:00+00:00,21.972,CO,48269
50,50,2025-01-14 05:00:00+00:00,32.0,,48265
20,80,2025-01-06 05:00:00+00:00,28.966,CO,48265
20,80,2025-01-22 05:00:00+00:00,26.0,OK,48265
48,52,2025-07-11 04:00:00+00:00,34.334,AZ,48272
71,29,2025-09-01 04:00:00+00:00,39.14,PA,48604
69,31,2025-09-04 04:00:00+00:00,17.133,CA,48290
72,28,2025-05-25 04:00:00+00:00,34.284,MD,48054
90,10,2025-09-02 04:00:00+00:00,23.197,NY,47782
74,26,2025-08-25 04:00:00+00:00,46.044,MD,48066
10,90,2025-01-02 05:00:00+00:00,25.1,WA,47736
50,50,2025-08-25 04:00:00+00:00,76.37,MN,48667
50,50,2025-08-04 04:00:00+00:00,39.5,NY,48920
50,50,2025-09-02 04:00:00+00:00,33.089,MA,48920
0,0,2025-08-01 04:00:00+00:00,60.842,MI,48671
0,0,2025-03-28 04:00:00+00:00,28.677,WI,48537
0,0,2025-08-17 04:00:00+00:00,39.65,TX,48924
30,70,2025-09-02 04:00:00+00:00,35.414,PA,48672
80,20,2024-12-30 05:00:00+00:00,80.0,VA,48673
50,50,2025-06-23 04:00:00+00:00,28.99,AZ,48802
65,35,2025-07-21 04:00:00+00:00,16.252,TN,48606
38,63,2025-08-31 04:00:00+00:00,26.403,PA,48542
18,82,2025-09-05 04:00:00+00:00,42.742,TN,48500
0,0,2025-08-30 04:00:00+00:00,42.466,IL,48500
30,70,2025-01-04 05:00:00+00:00,17.8,MI,47727
26,75,2025-09-05 04:00:00+00:00,30.627,NM,48484
20,80,2025-05-26 04:00:00+00:00,28.4,MD,48544
0,0,2025-07-30 04:00:00+00:00,23.172,,47741
50,50,2025-08-28 04:00:00+00:00,32.571,FL,48932
22,78,2025-09-07 04:00:00+00:00,33.828,VA,47801
30,70,2025-08-06 04:00:00+00:00,101.115,CA,49123
70,30,2025-09-06 04:00:00+00:00,38.86,FL,48034
39,61,2025-09-06 04:00:00+00:00,52.534,TN,48032
50,50,2025-01-06 05:00:00+00:00,47.0,NC,48032
25,75,2025-04-16 04:00:00+00:00,40.6,MI,48032
50,50,2025-09-04 04:00:00+00:00,48.604,CA,48033
70,30,2025-08-14 04:00:00+00:00,28.16,,47936
20,80,2025-04-26 04:00:00+00:00,17.2,IN,48575
30,70,2025-04-21 04:00:00+00:00,17.0,SC,48575
70,30,2025-04-07 04:00:00+00:00,14.0,FL,48575
55,45,2025-09-05 04:00:00+00:00,48.003,CO,48937
30,70,2025-08-26 04:00:00+00:00,44.69,AL,48937
44,56,2025-09-03 04:00:00+00:00,38.591,TX,48937
50,50,2025-04-19 04:00:00+00:00,34.5,TX,48937
31,69,2025-08-14 04:00:00+00:00,39.072,PA,48936
