avgMpg,cityPercent,highwayPercent,maxMpg,minMpg,recordCount,vehicleId
31.002,55,45,31,31,1,47940
96.635,63,37,97,97,1,48315
39.5,0,100,40,40,1,48166
28.6,60,40,29,29,1,47743
26.491,32,68,26,26,1,48116
13.178,-1,-1,13,13,1,48629
107.435,45,55,107,107,1,48697
28.2,100,0,28,28,1,48015
17.314,-1,-1,17,17,1,48210
31.682,49,51,32,31,2,47721
28.325,15,85,28,28,1,47781
72.427,35,65,72,72,1,49077
40.123,59,41,40,40,1,48873
42.5,58,42,51,39,3,47957
30.044,41,59,30,30,1,47956
51.317,75,25,51,51,1,48503
38.672,15,85,39,39,1,47950
21.115,50,50,21,21,1,48254
22.977,30,70,23,23,1,47754
30.7,100,0,31,31,1,48246
24.728,37,63,25,25,1,48247
43.5,10,90,44,44,1,48023
22.393,49,51,22,22,1,48025
26.716,35,65,27,27,1,48266
21.972,65,35,22,22,1,48269
28.781,30,70,32,26,3,48265
34.334,48,52,34,34,1,48272
39.14,71,29,39,39,1,48604
17.133,69,31,17,17,1,48290
34.284,72,28,34,34,1,48054
23.197,90,10,23,23,1,47782
46.044,74,26,46,46,1,48066
25.1,10,90,25,25,1,47736
76.37,50,50,76,76,1,48667
36.012,50,50,40,33,2,48920
60.842,-1,-1,61,61,1,48671
28.677,-1,-1,29,29,1,48537
39.65,-1,-1,40,40,1,48924
35.414,30,70,35,35,1,48672
80.0,80,20,80,80,1,48673
28.99,50,50,29,29,1,48802
16.252,65,35,16,16,1,48606
26.403,38,63,26,26,1,48542
42.603,18,82,43,42,2,48500
17.8,30,70,18,18,1,47727
30.627,26,75,31,31,1,48484
28.4,20,80,28,28,1,48544
23.172,-1,-1,23,23,1,47741
32.571,50,50,33,33,1,48932
33.828,22,78,34,34,1,47801
101.115,30,70,101,101,1,49123
38.86,70,30,39,39,1,48034
46.195,38,62,53,41,3,48032
48.604,50,50,49,49,1,48033
28.16,70,30,28,28,1,47936
15.924,40,60,17,14,3,48575
40.772,45,55,48,35,4,48937
39.072,31,69,39,39,1,48936
