state,city,zip,organization,contactFirstName,contactLastName,addressLine1,email,fax,phone1,cPSWeekEventFlag,lastUpdatedDate,mobileStationFlag,countiesServed,locationLatitude,locationLongitude
AL,Orange Beach,36561,Orange Beach Fire Department,,,25855 John Snook Drive,,,251-981-6166,No,2024-04-25 13:03:10+00:00,No,,30.303,-87.562
AL,Mobile,36604,USA Children’s & Women’s Hospital,,,1700 Center Street,,,251 415-1274,No,2024-04-25 13:06:07+00:00,No,,30.698,-88.078
AL,Chatom,36518,Washington County Health Department,Anna,Odom,14900 Saint Stephens Ave,,,251-946-8012,No,2023-09-19 12:12:50+00:00,No,,31.458,-88.23
AL,Grove Hill,36451,Clarke County Health Department,Anna,Odom,22600 Highway 84,,,251-946-8012,No,2023-09-19 12:12:28+00:00,No,,31.691,-87.76
AL,Troy,36081,Troy Police Department,,,300 Elm Street,,,334-566-0500,No,2024-04-25 13:09:01+00:00,No,,31.808,-85.97
AL,Opelika,36803,Lee County's Sheriff Office,,,1900 Frederick Road,,,334-749-5651,No,2024-04-25 13:01:46+00:00,No,,32.624,-85.402
AL,Sylacauga,35150,Sylacauga Fire Department,,,300 N. Norton Avenue,,,256-401-2523,No,2024-04-25 13:04:09+00:00,No,,33.172,-86.252
AL,Tuscaloosa,35401,Tuscaloosa Fire Department Station One,Holly Whigham,Eric Richburg,1501 Greensboro Ave,,,202-248-5420,No,2023-09-19 11:55:35+00:00,No,,33.199,-87.563
AL,Northport,35476,Northport Fire Station One,Michael,Chism,3500 McFarland Blvd,,,205-333-3024,No,2023-09-19 11:56:35+00:00,No,,33.241,-87.592
AL,Birmingham,35233,Children's Hosptial of Alabama,Marie,Crew,1600 5th Ave S,,,1-800-504-9768,No,2023-09-19 11:52:55+00:00,No,,33.506,-86.807
AL,Pell City,35125,St. Clair County Health,Elizabeth,Payne,1175 23rd St N,,,256-569-8169,No,2023-11-01 18:14:27+00:00,No,,33.602,-86.287
AL,Anniston,36201,Calhoun County Health Department,Elizabeth,Payne,3400 McClellan Blvd,,,256-240-6628,No,2023-09-19 12:11:55+00:00,No,,33.691,-85.824
AL,Gadsden,35903,Etowah County Health Department,Elizabeth,Payne,709 E Broad St,,,256-240-6628,No,2023-09-19 12:05:52+00:00,No,,34.003,-85.986
AL,Huntsville,35801,Huntsville Hospital,Karen,Ivey,927 Franklin St SE,,,256-265-7296,No,2023-09-19 12:05:19+00:00,No,,34.721,-86.577
AL,Huntsville,35801,Huntsville Hospital for Women and Children,Kelly,Thomas,420 Lowell Dr SE,,,256-265-7296,No,2023-09-19 12:04:46+00:00,No,,34.721,-86.575
AK,Juneau,99801,Bartlett Regional Hospital Safe Kids Alaska CPS Program,Sara,Gress,3260 Hospital Dr,,,907-796-8975,No,2023-11-29 16:18:28+00:00,No,,,
AK,Eielson AFB,99702,Eielson AFB Fire and Emergency Services,Leah,Lloyd,2723 Flightline Avenue,,,907-377-4156,No,2023-11-29 16:25:36+00:00,No,,,
AK,Kodiak,99615,"Kodiak Bayside Fire Station, Safe Kids Alaska CPS Program",Justin,Thran,4606 E Rezanof Drive,,,907-486-4536,No,2023-11-29 15:58:52+00:00,No,,,
AK,Nome,99762,CAMP-Norton Sound Health Corporation,Katie,Hannon,100 Greg Kruscheck Avenue,,,907-443-3365,No,2023-11-29 16:05:12+00:00,No,,,
AK,Ninilchik,99639,Western Emergency Services,Lori,Marsh,15727 Kingsley Road,,,907-235-6700,No,2023-11-29 16:11:11+00:00,No,,,
AK,Kenai,99611,Kenai Fire Department,Brad,Nelson,105 S Willow St,,,907-283-7666,No,2023-11-29 16:20:56+00:00,No,,,
AK,Homer,99603,Sprout Family Services,Red,Asselin,3691 Ben Walters Lane,,,907-xxx-xxx,No,2023-11-29 16:27:55+00:00,No,,,
AK,Fairbanks,99709,Chena Goldstream Fire & Rescue,Angela,Adams,716 Chena Ridge,,,907-479-65672,No,2023-11-29 16:30:36+00:00,No,,,
AK,Ft Wainwright,99703,Fort Wainwright Fire Dept.,Barbara,Michael,4390 Neeley Road,,,907-361-7399,No,2023-11-30 15:48:44+00:00,No,,,
AK,Ester,99507,Ester Volunteer Fire Department,Angela,Adams,3570 Old Nenana Hwy,,,907-479-6858,No,2023-11-30 15:50:59+00:00,No,,,
AK,Craig,99921,Craig Tribal Association,Samantha,Ponce,515 Front Street,,,907-826-3998,No,2023-11-30 15:53:00+00:00,No,,,
AK,Bethel,99559,Bethel Fire Dept.,Daron,Solestee,320 Chief Eddie Hoffman Hwy,,,907-543-2047,No,2023-11-30 15:56:05+00:00,No,,,
AK,Anchorage,99501,Anchorage Fire Dept,Brian,Palmer,122 E 4th Ave,,,907-267-5045,No,2023-11-30 16:01:12+00:00,No,,,
AK,Anchorage,99508,"Safe Kids Alaska, Providence Alaska Medical Center",Sara,Penisten Turcic,3200 Providence Drive,,,907-212-3194,No,2023-11-30 16:03:33+00:00,No,,,
AK,Ketchikan,99901,"Ketchikan Fire Department, Safe Kids Alaska CPS Program",Jeff,Jones,319 Main Street,jeffj@city.ketchikan.ak.us,,907-225-9616,No,2017-06-20 18:42:53+00:00,No,,55.342,-131.647
AK,Klawock,99925,SEARHC Prince of Wales,June,May,7300 Klawock Hollis Hwy,,,907-755-4959,No,2016-05-31 22:00:54+00:00,No,,55.552,-133.082
AK,Seward,99664,Seward Providence Mountain Haven,Rosie,Patnode,417 1st Ave,,,907-491-0544,No,2023-11-28 22:50:32+00:00,No,,60.105,-149.446
AK,Soldotna,99669,Central Emergency Services,,,231 S Binkley St,,,907-262-4792,No,2017-06-20 18:29:31+00:00,No,,60.483,-151.072
AK,Soldotna,99669,Safe Kids Kenai-Central Peninsula Hospital,Jane,"Fellman, R.N.",250 Hospital Place,,,907-714-4539,No,2017-06-20 18:31:24+00:00,No,,60.493,-151.077
AK,Cordova,99574,Native Village of Eyak,Jessica,Weaver,110 Nicholoff Way,,,907-201-1545,No,2023-11-30 15:54:11+00:00,No,,60.543,-145.765
AK,Kenai,99611,City of Nikiski,Rhonda,White,44800 Kenai Spur Hwy,,,907-283-4202,No,2023-11-29 15:54:26+00:00,No,,60.629,-151.342
AK,Anchorage,99503,Center for Safe Alaskan,Mandi,Seethaler,4241 B St,,,907-929-3939,No,2023-11-30 16:04:38+00:00,No,,61.182,-149.884
AK,Palmer,99645,"Knik Tribe, Mat-Su, Safe Kids Alaska CPS Program",,,1744 Prospect Dr,,,907-671-6861,No,2023-11-29 16:02:03+00:00,No,,61.599,-149.219
AK,Fairbanks,99701,The Fairbanks Safe Rider Program Fairbanks Memorial Hospital,Angela,Adams,1650 E Cowles St,,,907-458-7233,No,2023-11-29 16:22:59+00:00,No,,64.831,-147.74
