vehicleId;vehicleDescription;make;model;modelYear;complaintsCount;recallsCount;overallRating;overallFrontCrashRating;frontCrashDriversideRating;frontCrashPassengersideRating;frontCrashPicture;frontCrashVideo;overallSideCrashRating;sideCrashDriversideRating;sideCrashPassengersideRating;sideCrashPicture;sideCrashVideo;combinedSideBarrierAndPoleRating-Front;combinedSideBarrierAndPoleRating-Rear;sideBarrierRating-Overall;rolloverRating;rolloverRating2;rolloverPossibility;rolloverPossibility2;dynamicTipResult;sidePoleCrashRating;sidePolePicture;sidePoleVideo;nHTSAElectronicStabilityControl;nHTSAForwardCollisionWarning;nHTSALaneDepartureWarning;investigationCount;vehiclePicture
20891;2026 ACURA MDX SUV N/A FWD;ACURA;MDX;2026;0;0;5;4;4;4;https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG;https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4;5;5;5;4;;0.151;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv;Standard;No;No;0;
20904;2026 ACURA RDX SUV N/A AWD;ACURA;RDX;2026;0;0;5;4;4;4;https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv;5;5;5;4;;0.15;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv;Standard;No;No;0;
20900;2026 ACURA INTEGRA TYPE-S 5 HB N/A FWD;ACURA;INTEGRA TYPE-S;2026;0;0;;;;;;;;;;;;;;;5;;0.095;0.0;No Tip;;;;Standard;No;No;0;
20892;2026 ACURA MDX SUV N/A AWD;ACURA;MDX;2026;0;0;;4;4;4;https://static.nhtsa.gov/crashTest/images/2026/v11663P084.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v11663C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v11661P105.JPG;https://static.nhtsa.gov/crashTest/videos/2026/v11661C013.MP4;5;5;5;;;0.0;0.0;;5;https://static.nhtsa.gov/crashTest/images/2026/v11662P074.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v11662C013.wmv;Standard;No;No;0;
20899;2026 ACURA INTEGRA 5 HB N/A FWD;ACURA;INTEGRA;2026;0;0;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v14258P084.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v14258C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v14261P105.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v14261C013.wmv;5;5;5;5;;0.095;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v14260P074.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v14260C013.wmv;Standard;No;No;0;
20908;2026 ACURA ZDX SUV BEV RWD;ACURA;ZDX BEV;2026;0;0;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg;;5;5;5;5;;0.092;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg;;Standard;No;No;0;
20909;2026 ACURA ZDX SUV BEV AWD;ACURA; ;2026;0;0;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v15182P001.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v15181P001.jpg;;5;5;5;5;;0.087;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v15183P001.jpg;;Standard;No;No;0;
20903;2026 ACURA RDX SUV N/A FWD;ACURA;RDX;2026;0;0;5;4;4;4;https://static.nhtsa.gov/crashTest/images/2026/v10556P080.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v10556C017.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v10364P104.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v10364C013.wmv;5;5;5;4;;0.165;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v10365P072.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v10365C013.wmv;Standard;No;No;0;
20897;2026 HONDA CIVIC HATCHBACK 5 HB N/A FWD;HONDA;CIVIC HATCHBACK;2026;0;0;5;4;5;4;https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv;5;5;5;5;;0.095;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv;Standard;No;No;0;
20838;2026 Genesis GV70 SUV AWD;GENESIS;GV70;2026;0;0;5;4;4;5;https://static.nhtsa.gov/crashTest/images/2026/v14433P084.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v14433C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2026/v15004P105.jpg;https://static.nhtsa.gov/crashTest/videos/2026/v15004C012.wmv;5;5;5;4;;0.13;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2026/v15008P075.jpg;;Standard;No;No;0;
