cityPercent,highwayPercent,lastDate,mpg,state,vehicleId
55,45,2025-08-21T00:00:00-04:00,31.002087683,AZ,47940
63,37,2025-08-30T00:00:00-04:00,96.635498762,NY,48315
0,100,2024-12-30T00:00:00-05:00,39.5,OH,48166
60,40,2025-05-03T00:00:00-04:00,28.6,MA,47743
32,68,2025-08-12T00:00:00-04:00,26.491023225,IL,48116
0,0,2025-04-20T00:00:00-04:00,13.177985793,GA,48629
100,0,2025-01-18T00:00:00-05:00,28.2,IN,48015
45,55,2025-02-06T00:00:00-05:00,107.4346875,CA,48697
0,0,2025-08-12T00:00:00-04:00,17.313677619,OH,48210
19,81,2025-06-30T00:00:00-04:00,32.10073694,NC,47721
78,22,2025-09-02T00:00:00-04:00,31.27475816,OH,47721
15,85,2025-09-07T00:00:00-04:00,28.324519199,NY,47781
35,65,2025-08-26T00:00:00-04:00,72.42655814,MS,49077
59,41,2025-08-29T00:00:00-04:00,40.123163996,GA,48873
75,25,2025-07-19T00:00:00-04:00,51.316984559,UT,48503
70,30,2024-07-16T00:00:00-04:00,50.964324973,OR,47957
54,46,2025-08-30T00:00:00-04:00,39.477583024,CA,47957
50,50,2025-07-17T00:00:00-04:00,39.007943839,NE,47957
15,85,2025-05-18T00:00:00-04:00,38.671814272,VA,47950
41,59,2025-08-13T00:00:00-04:00,30.043603355,NY,47956
90,10,2025-09-02T00:00:00-04:00,23.197409292,NY,47782
37,63,2025-08-07T00:00:00-04:00,24.728456832,CO,48247
50,50,2025-09-03T00:00:00-04:00,21.115045243,PA,48254
100,0,2025-03-12T00:00:00-04:00,30.7,MA,48246
30,70,2025-08-24T00:00:00-04:00,22.976885539,TN,47754
49,51,2025-09-08T00:00:00-04:00,22.39266442,PA,48025
10,90,2025-02-24T00:00:00-05:00,43.5,WI,48023
35,65,2025-04-02T00:00:00-04:00,26.715522985,WY,48266
50,50,2025-01-14T00:00:00-05:00,32.0,,48265
20,80,2025-01-06T00:00:00-05:00,28.965517241,CO,48265
20,80,2025-01-22T00:00:00-05:00,26.0,OK,48265
48,52,2025-07-11T00:00:00-04:00,34.334151739,AZ,48272
50,50,2011-04-10T00:00:00-04:00,73.8,MI,26425
10,90,2011-01-02T00:00:00-05:00,62.2,FL,26425
40,60,2017-11-21T00:00:00-05:00,61.9,,26425
60,40,2011-05-26T00:00:00-04:00,60.886699507,TX,26425
60,40,2009-07-16T00:00:00-04:00,60.3,IL,26425
10,90,2012-06-06T00:00:00-04:00,60.0,NJ,26425
20,80,2013-05-19T00:00:00-04:00,59.9,VA,26425
45,55,2011-05-23T00:00:00-04:00,59.769560768,MA,26425
20,80,2009-09-01T00:00:00-04:00,59.0,ME,26425
60,40,2012-02-18T00:00:00-05:00,58.843537415,CA,26425
20,80,2010-08-11T00:00:00-04:00,58.568557564,CA,26425
